가게명,카테고리,도로명주소,lon,lat,상권_코드,상권_코드_명
로네펠트티하우스 이케아강동점,음식점 > 카페,서울 강동구 고덕비즈밸리로 51,127.157333362387,37.5666600295608,3111085,묘곡초등학교(고덕아이파크아파트)
담소원전통찻집,음식점 > 카페 > 전통찻집,서울 양천구 신월로 185,126.84334828296922,37.51949545804548,3130205,신곡종합시장(신월6동 골목시장)
지유명차 마곡점,음식점 > 카페 > 전통찻집,서울 강서구 공항대로 206,126.830265032025,37.5588924878528,3120118,마곡역(마곡)
나연건강카페,음식점 > 카페 > 전통찻집,서울 강서구 곰달래로55길 18,126.860691736529,37.5328484045514,3130221,"남부골목시장(남부화곡시장, 남부시장)"
티오르카페,음식점 > 카페,서울 강서구 마곡중앙로 76,126.827507936999,37.5603949572859,3120118,마곡역(마곡)
지유명차 화곡점,음식점 > 카페 > 전통찻집,서울 강서구 까치산로28길 6,126.85411195400609,37.55355442115979,3110669,화곡보람2차아파트
오가다 서울목동파라곤점,음식점 > 카페 > 전통찻집 > 오가다,서울 양천구 목동서로 155,126.87517684334296,37.52951107803039,3120114,목동신시가지
대운차향,음식점 > 카페 > 전통찻집,서울 양천구 목동중앙서로7가길 38,126.864111790908,37.5335497636631,3120111,목동사거리
차연,음식점 > 카페 > 전통찻집,서울 관악구 호암로26길 71,126.937567586912,37.470299573795,3120158,녹두거리(대학동)
티소트,음식점 > 카페,서울 강서구 강서로12길 15,126.84773054332,37.531724173686,3130219,까치산시장
오설록티하우스 현대백화점 목동점,음식점 > 카페 > 오설록 티하우스,서울 양천구 목동동로 257,126.8749903924984,37.526667320799326,3120113,오목교역
차마시는뜰 (휴업중),음식점 > 카페 > 전통찻집,서울 송파구 동남로 272,127.1364310483756,37.49986964923044,3111038,보인중학교
지유명차 송파점,음식점 > 카페 > 전통찻집,서울 송파구 오금로35길 12,127.12713562184528,37.50417691274213,3111022,석촌중학교(방이육교)
람가헌,음식점 > 카페 > 전통찻집,서울 송파구 위례순환로 478,127.13407831675734,37.4774624915802,3111028,문현중학교(장지역 1번)
청복 보이차,음식점 > 카페 > 전통찻집,서울 송파구 위례광장로 199,127.142787136809,37.4817005434945,3111033,문정동성당
슬기네찻집,음식점 > 카페 > 전통찻집,서울 송파구 성내천로63길 8,127.157499697026,37.4902279023889,3111047,마천1치안센터
유정임보이차,음식점 > 카페 > 전통찻집,서울 관악구 남부순환로248길 68,126.965992559806,37.4731367418585,3130295,인헌시장(원당종합시장)
오가다 대한무역투자진흥공사점,음식점 > 카페 > 전통찻집 > 오가다,서울 서초구 헌릉로 7,127.04405409187451,37.46539013686462,3110942,염곡동 구룡사(포이동성당)
당신의보이차,음식점 > 카페 > 전통찻집,서울 강남구 도곡로11길 10,127.035769609851,37.4915519400015,3110963,역삼월드메르디앙아파트
웰빙찻집 다정다감,음식점 > 카페 > 전통찻집,서울 서초구 청계산로 189,127.05528538210122,37.44834906968367,3110947,청계산입구역 2번(내곡동주민센터)
오가다 서울대치점,음식점 > 카페 > 전통찻집 > 오가다,서울 강남구 역삼로64길 9,127.05309305692876,37.50043628813387,3120211,도성초등학교
예향,음식점 > 카페 > 전통찻집,서울 강남구 테헤란로 124,127.031619337256,37.4987656833544,3120189,강남역
무미다점 바이 이스턴에디션,음식점 > 카페 > 전통찻집,서울 강남구 언주로133길 17,127.033857239577,37.5160643582198,3120196,서울세관
티하우스 절기,음식점 > 카페 > 전통찻집,서울 강남구 봉은사로 306,127.04065273431,37.5090974528202,3120199,경복아파트교차로
선릉마실길,음식점 > 카페 > 전통찻집,서울 강남구 선릉로 530,127.047569922389,37.5069811123957,3120210,선릉역
하모니,음식점 > 카페 > 전통찻집,서울 강남구 봉은사로 123,127.027143520445,37.5055567760198,3120187,신논현역
라오상하이 찻집 논현점,음식점 > 카페,서울 강남구 학동로38길 6,127.034304480806,37.5145577509229,3120196,서울세관
로네펠트티하우스 선릉점,음식점 > 카페,서울 강남구 테헤란로69길 13,127.0522295087066,37.50678092294778,3120210,선릉역
앨리스스튜디오&티카페,음식점 > 카페 > 테마카페,서울 강남구 언주로 641,127.034860703041,37.5139413014008,3120196,서울세관
지유명차 서초점,음식점 > 카페 > 전통찻집,서울 서초구 명달로8길 17,127.00613927801612,37.48181639622053,3110926,신중초등학교
다원식품,"서비스,산업 > 식품 > 음료,주류제조 > 차,커피",서울 서초구 반포대로28길 21-9,127.009344613295,37.4910677383446,3120169,서초역
최찻집,음식점 > 카페,서울 서초구 방배천로16길 18,126.983524546702,37.48194425129847,3110905,방배노인종합복지관(이수중학교)
콰이어트 크림티,음식점 > 카페,서울 송파구 삼전로12길 7,127.09103817476976,37.50644473983687,3111006,석촌고분역 1번
티의수채화,음식점 > 카페,서울 강남구 일원로 53,127.081808615442,37.4892575908143,3110997,대청초등학교
노스티 상일점,음식점 > 카페 > 커피전문점,서울 강동구 상일로7길 11,127.17228215875468,37.54984549413008,3111089,상일여고(상일초등학교)
티테리아 잠실점,음식점 > 카페,서울 송파구 올림픽로35가길 10,127.1021659843824,37.5172098447787,3120227,잠실역
