원본_상권명,검색어
종로6가,종로6가 카페
어린이대공원역,어린이대공원역 카페
신내1동주민센터,신내1동주민센터 카페
쌍문초등학교,쌍문초등학교 카페
성자초등학교,성자초등학교 카페
자양동우체국,자양동우체국 카페
도봉우체국,도봉우체국 카페
가양역 10번,가양역 카페
당산역,당산역 카페
창동역상점가,창동역 카페
경복고등학교,경복고등학교 카페
세검정초등학교,세검정초등학교 카페
평창동동측,평창동동측 카페
성신여대,성신여대 카페
난우초등학교,난우초등학교 카페
미성초등학교,미성초등학교 카페
선정릉역,선정릉역 카페
문정역 1번,문정역 카페
천호1동주민센터,천호1동주민센터 카페
굽은다리역 2번,굽은다리역 카페
중곡3동주민센터,중곡3동주민센터 카페
창동역 2번,창동역 카페
구암초등학교,구암초등학교 카페
신림역 8번,신림역 카페
"신림역 5번(신림동주민센터, 신림동별빛거리)",신림역 카페
몽촌토성역,몽촌토성역 카페
돌곶이역 5번,돌곶이역 카페
화원중학교,화원중학교 카페
법제교육센터(버들어린이공원),법제교육센터 카페
동구여중,동구여중 카페
까치산역 1번,까치산역 카페
구로전화국,구로전화국 카페
성수대교남단,성수대교남단 카페
롯데백화점(시청광장 지하쇼핑센터),롯데백화점 카페
금호삼성래미안아파트,금호삼성래미안아파트 카페
금호사거리,금호사거리 카페
상계5동주민센터,상계5동주민센터 카페
이대역 5번,이대역 카페
그라운드 고척,그라운드 고척 카페
영등포청과시장(조광시장),영등포청과시장 카페
정릉우체국,정릉우체국 카페
연신내역,연신내역 카페
망원시장,망원시장 카페
망원월드컵시장,망원월드컵시장 카페
목사랑시장(목4동시장),목사랑시장 카페
성남고등학교,성남고등학교 카페
미아사거리역 3번,미아사거리역 카페
역삼역 4번,역삼역 카페
장충동족발거리(남소영길),장충동족발거리 카페
수송초등학교,수송초등학교 카페
방천골목시장,방천골목시장 카페
신영시장,신영시장 카페
"총신대입구역(이수, 총신대)",총신대입구역 카페
남태령역(서울전자고등학교),남태령역 카페
송정체육공원,송정체육공원 카페
경희대학교(경희대),경희대학교 카페
도봉세무서,도봉세무서 카페
수유초등학교,수유초등학교 카페
불광먹자골목 골목형상점가,불광먹자골목 골목형 카페
신월7동주민센터,신월7동주민센터 카페
이수역 5번,이수역 카페
양목초등학교,양목초등학교 카페
구의역,구의역 카페
중랑노인종합복지관,중랑노인종합복지관 카페
수유역,수유역 카페
가오리역 2번,가오리역 카페
독산119안전센터,독산119안전센터 카페
독산동,독산동 카페
개롱역,개롱역 카페
남부터미널역 1번,남부터미널역 카페
"동원전통종합시장(동원시장, 동원전통시장 상점가)",동원전통종합시장 카페
강북문화예술회관,강북문화예술회관 카페
해방촌 남동측,해방촌 남동측 카페
서초중학교,서초중학교 카페
남영역 1번,남영역 카페
문정역 2번,문정역 카페
강동구립성내도서관,강동구립성내도서관 카페
통인시장,통인시장 카페
청와대사랑채,청와대사랑채 카페
연남동(홍대),연남동 카페
우장산역 4번,우장산역 카페
장지역(가든파이브),장지역 카페
성균관대학교,성균관대학교 카페
