원본_상권명,검색어
이태원엔틱가구거리,이태원엔틱가구거리 카페
미성동 도깨비시장 골목형상점가,미성동 도깨비시장 골목형 카페
성신여대입구역 1번,성신여대입구역 카페
연희초등학교,연희초등학교 카페
신성초등학교,신성초등학교 카페
한성대입구역,한성대입구역 카페
보라매역 6번,보라매역 카페
화양사거리,화양사거리 카페
공덕역(공덕오거리),공덕역 카페
뜸부기어린이공원,뜸부기어린이공원 카페
봉천역 4번(봉천110안전센터),봉천역 카페
석촌고분역 3번,석촌고분역 카페
신당역 3번,신당역 카페
서울독일학교,서울독일학교 카페
효창동주민센터,효창동주민센터 카페
논현역,논현역 카페
대광초등학교,대광초등학교 카페
조원동 펭귄시장(신림중앙시장),조원동 펭귄시장 카페
마장축산물시장,마장축산물시장 카페
한강성심병원,한강성심병원 카페
국악고교사거리,국악고교사거리 카페
오금공원(오주중학교),오금공원 카페
성수동카페거리,성수동카페거리 카페
정릉3동주민센터,정릉3동주민센터 카페
영신여고,영신여고 카페
구로역,구로역 카페
삼전역 4번,삼전역 카페
뚝도시장,뚝도시장 카페
종암아이파크2차,종암아이파크2차 카페
구산역 4번,구산역 카페
동교초등학교,동교초등학교 카페
청량리종합시장,청량리종합시장 카페
마포구청역 7번,마포구청역 카페
서울프랑스학교,서울프랑스학교 카페
삼각산119안전센터,삼각산119안전센터 카페
제일시장,제일시장 카페
신한은행 신월동지점,신한은행 신월동지점 카페
오류지구대,오류지구대 카페
성동세무서,성동세무서 카페
화계중학교,화계중학교 카페
상수역(홍대),상수역 카페
신월문화체육센터,신월문화체육센터 카페
가산디지털단지,가산디지털단지 카페
황학코아루아파트,황학코아루아파트 카페
망우3동주민센터,망우3동주민센터 카페
강북구청,강북구청 카페
굽은다리역 3번,굽은다리역 카페
광나루역 1번,광나루역 카페
구산역,구산역 카페
홍익지구대,홍익지구대 카페
신대방삼거리역,신대방삼거리역 카페
남부터미널역,남부터미널역 카페
명일역,명일역 카페
원남동사거리,원남동사거리 카페
경찰병원역,경찰병원역 카페
홍대땡땡거리,홍대땡땡거리 카페
양천향교역 7번,양천향교역 카페
영등포구청역,영등포구청역 카페
경찰병원역 3번,경찰병원역 카페
효창공원앞역 6번,효창공원앞역 카페
신한은행 방학동지점,신한은행 방학동지점 카페
"신촌역(신촌역, 신촌로터리)",신촌역 카페
중앙대학교,중앙대학교 카페
서울고교교차로,서울고교교차로 카페
가락시장역,가락시장역 카페
해방촌예술마을,해방촌예술마을 카페
광진구청,광진구청 카페
서대문우체국,서대문우체국 카페
코엑스,코엑스 카페
남천초등학교,남천초등학교 카페
암사역 3번(천호동자전거거리),암사역 카페
문래동주민센터,문래동주민센터 카페
중곡역 3번,중곡역 카페
문정초등학교,문정초등학교 카페
천호공원(해공체육문화센터),천호공원 카페
숙대입구,숙대입구 카페
공항시장역 1번,공항시장역 카페
문래역(문래로데오거리),문래역 카페
당곡중학교,당곡중학교 카페
신논현역,신논현역 카페
은곡마을(은곡마을공원),은곡마을 카페
충무로역,충무로역 카페
퇴계로5가,퇴계로5가 카페
아차산역 1번,아차산역 카페
건대입구역 1번,건대입구역 카페
한성대입구역 3번,한성대입구역 카페
성북구청,성북구청 카페
화랑대철도공원,화랑대철도공원 카페
영진시장A동,영진시장A동 카페
방아다리근린공원(횃불트리니티신학대학원대학교),방아다리근린공원 카페
노원초등학교,노원초등학교 카페
인헌시장(원당종합시장),인헌시장 카페
장충동주민센터,장충동주민센터 카페
효창공원앞역 2번,효창공원앞역 카페
홍제역 3번,홍제역 카페
마장역 2번,마장역 카페
가리봉파출소,가리봉파출소 카페
남구로역 2번,남구로역 카페
청룡동주민센터,청룡동주민센터 카페
송파역 2번,송파역 카페
돌곶이역 1번,돌곶이역 카페
광운대학교 남단,광운대학교 남단 카페
광운대역 1번,광운대역 카페
등나무근린공원,등나무근린공원 카페
서울숲역,서울숲역 카페
뚝섬역,뚝섬역 카페
서울숲카페거리,서울숲카페거리 카페
종암중학교,종암중학교 카페
상계역,상계역 카페
내방역 4번,내방역 카페
성수119안전센터,성수119안전센터 카페
은평요양병원,은평요양병원 카페
서울대병원,서울대병원 카페
세종대왕기념관교차로,세종대왕기념관교차로 카페
서울북부고용노동지청,서울북부고용노동지청 카페
불광역,불광역 카페
강남구청역 2번,강남구청역 카페
언주역 6번,언주역 카페
풍납시장,풍납시장 카페
왕십리도선동상점가,왕십리도선동 카페
논현2동주민센터,논현2동주민센터 카페
망우본동주민센터,망우본동주민센터 카페
수유시장옆,수유시장옆 카페
장로회신학대학교,장로회신학대학교 카페
장승배기역 4번,장승배기역 카페
신대방삼거리역 1번,신대방삼거리역 카페
강남구청역,강남구청역 카페
서울역 12번,서울역 카페
영등포유통상가,영등포유통상가 카페
보라매공원,보라매공원 카페
종로신진시장,종로신진시장 카페
광장시장(광장전통시장),광장시장 카페
한국폴리텍대학서울정수캠퍼스,한국폴리텍대학서울정수캠퍼스 카페
서빙고역 1번,서빙고역 카페
국민은행방학지점,국민은행방학지점 카페
도봉구보건소,도봉구보건소 카페
북가좌2동주민센터,북가좌2동주민센터 카페
신흥시장,신흥시장 카페
쌍문2동우체국,쌍문2동우체국 카페
거여역,거여역 카페
이태원 관광특구,이태원 관광특구 카페
뚝섬유원지역 1번,뚝섬유원지역 카페
암사역 2번(서울강동초등학교),암사역 카페
공릉역,공릉역 카페
공군호텔,공군호텔 카페
삼성전자서울R&D(서울우면초등학교),삼성전자서울R&D 카페
대왕초등학교(세곡동사거리서남측),대왕초등학교 카페
방이역,방이역 카페
방이역 4번,방이역 카페
송파나루역 3번,송파나루역 카페
성신여대입구역 7번,성신여대입구역 카페
신사은행나무공원,신사은행나무공원 카페
수락산디자인거리,수락산디자인거리 카페
잠실 관광특구,잠실 관광특구 카페
수락산역 4번,수락산역 카페
선유도역 골목형상점가,선유도역 골목형 카페
선유도역 6번,선유도역 카페
석촌역 6번,석촌역 카페
석촌역(석촌호수),석촌역 카페
중앙고등학교,중앙고등학교 카페
한강진역 3번,한강진역 카페
용두동신동아아파트,용두동신동아아파트 카페
연트럴파크(연남동주민센터),연트럴파크 카페
인헌고등학교(인헌중학교),인헌고등학교 카페
후암시장,후암시장 카페
외대앞역 1번,외대앞역 카페
안암역 2번,안암역 카페
상계백병원,상계백병원 카페
대흥역 3번,대흥역 카페
은행사거리,은행사거리 카페
국회의사당역(국회의사당),국회의사당역 카페
포이초등학교(개포목련어린이공원),포이초등학교 카페
월계역 3번,월계역 카페
양원초등학교,양원초등학교 카페
개봉3동주민센터,개봉3동주민센터 카페
서울숲역 1번,서울숲역 카페
서경대학교,서경대학교 카페
텃골근린공원,텃골근린공원 카페
내방역 1번,내방역 카페
서울세관,서울세관 카페
혜화역 1번,혜화역 카페
서서울 골목형상점가,서서울 골목형 카페
경창시장,경창시장 카페
신도림역,신도림역 카페
불광역 8번,불광역 카페
하나은행 망우동지점,하나은행 망우동지점 카페
남성역골목시장,남성역골목시장 카페
방현초등학교(방배119안전센터),방현초등학교 카페
성동용답상가시장,성동용답상가시장 카페
수유중앙골목시장(수유중앙시장),수유중앙골목시장 카페
강북종합전통시장(강북종합골목시장),강북종합전통시장 카페
말미고개,말미고개 카페
숭실대입구역 4번,숭실대입구역 카페
휘문고교사거리,휘문고교사거리 카페
면목2동체육관,면목2동체육관 카페
서교동(홍대),서교동 카페
신정네거리역,신정네거리역 카페
금천구청역 1번 출입구,금천구청역 카페
아차산역,아차산역 카페
신묵초등학교,신묵초등학교 카페
도봉산역 1번,도봉산역 카페
양천향교역 2번,양천향교역 카페
금산초등학교(금천고등학교),금산초등학교 카페
영등포청과시장교차로,영등포청과시장교차로 카페
신대방삼거리역 3번,신대방삼거리역 카페
뱅뱅사거리,뱅뱅사거리 카페
송정역,송정역 카페
등촌1동주민센터,등촌1동주민센터 카페
동대문역,동대문역 카페
태릉시장 특화거리,태릉시장 특화거리 카페
덕성여대시반거리,덕성여대시반거리 카페
마천역(마천초등학교),마천역 카페
암사역,암사역 카페
이태원(이태원역),이태원 카페
건대입구역 6번,건대입구역 카페
홍대부속여중고앞,홍대부속여중고앞 카페
쌍문역동측상점가,쌍문역동측 카페
창2동주민센터,창2동주민센터 카페
연희세브란스병원,연희세브란스병원 카페
문래예술촌(문래창작촌),문래예술촌 카페
경성고등학교,경성고등학교 카페
바우뫼공원,바우뫼공원 카페
화양제일골목시장,화양제일골목시장 카페
보문역 8번,보문역 카페
경춘선숲길 우측,경춘선숲길 우측 카페
미근동,미근동 카페
화곡역 2번,화곡역 카페
청계산원터골,청계산원터골 카페
답십리초등학교,답십리초등학교 카페
삼선중학교,삼선중학교 카페
"남부골목시장(남부화곡시장, 남부시장)",남부골목시장 카페
"양재시민의숲역(양재동꽃시장, aT센터)",양재시민의숲역 카페
홍제역 2번,홍제역 카페
우장산롯데캐슬아파트앞,우장산롯데캐슬아파트앞 카페
신금호역 골목형상점가,신금호역 골목형 카페
송파나루역 1번(송리단길),송파나루역 카페
세검정,세검정 카페
관악구 중앙길,관악구 중앙길 카페
개포고등학교,개포고등학교 카페
왕십리역(왕십리),왕십리역 카페
성원중학교,성원중학교 카페
석계역 1번,석계역 카페
영등포시장기계공구상가,영등포시장기계공구상가 카페
장평중학교,장평중학교 카페
장안동사거리,장안동사거리 카페
뚝섬역교차로,뚝섬역교차로 카페
성원어린이공원,성원어린이공원 카페
미아역 8번,미아역 카페
목동보건지소,목동보건지소 카페
은평구청,은평구청 카페
경복아파트교차로,경복아파트교차로 카페
청량리청과물시장,청량리청과물시장 카페
예일여고,예일여고 카페
대조시장,대조시장 카페
사당역 11번(사당역먹자골목),사당역 카페
언북중학교,언북중학교 카페
강일동주민센터,강일동주민센터 카페
옥수터널,옥수터널 카페
신월중학교,신월중학교 카페
서울남부지방법원,서울남부지방법원 카페
강남세브란스병원미래의학연구센터,강남세브란스병원미래의학연구센터 카페
신사1동주민센터,신사1동주민센터 카페
상도전통시장,상도전통시장 카페
대명여울빛거리시장(대명시장),대명여울빛거리시장 카페
구삼강변맛길,구삼강변맛길 카페
강서구다솔마을,강서구다솔마을 카페
석수역 1번 출입구,석수역 카페
강남역,강남역 카페
성내천어린이공원(하니사랑길),성내천어린이공원 카페
능동우편취급국,능동우편취급국 카페
둔촌역,둔촌역 카페
망우역 2번,망우역 카페
명지대학교교회,명지대학교교회 카페
도곡1동,도곡1동 카페
배화여자대학교(박노수미술관),배화여자대학교 카페
등촌3동주민센터,등촌3동주민센터 카페
대림역,대림역 카페
건대입구역(건대),건대입구역 카페
쌍문역1번(쌍리단길),쌍문역1번 카페
호림박물관(성보고등학교),호림박물관 카페
경리단길남측,경리단길남측 카페
중곡어린이공원,중곡어린이공원 카페
국립정신건강센터,국립정신건강센터 카페
연희동,연희동 카페
서원동상점가,서원동 카페
신사역,신사역 카페
한성백제역 3번,한성백제역 카페
월드컵경기장역(월드컵경기장),월드컵경기장역 카페
답십리시장,답십리시장 카페
노원역,노원역 카페
더케이호텔(양재리본타워2단지아파트),더케이호텔 카페
신설동역,신설동역 카페
상계초등학교,상계초등학교 카페
홍제3동주민센터,홍제3동주민센터 카페
여의도역(여의도),여의도역 카페
을지로2가,을지로2가 카페
을지로입구역,을지로입구역 카페
동의보감타워,동의보감타워 카페
숭곡초등학교,숭곡초등학교 카페
성산중학교,성산중학교 카페
보인중학교,보인중학교 카페
경희대후문,경희대후문 카페
도화동 상점가,도화동 카페
개봉초등학교,개봉초등학교 카페
개웅초등학교(개웅중학교),개웅초등학교 카페
방이역 1번,방이역 카페
고척골목시장상점가(그라운드 고척),고척골목시장 카페
개포지구대옆,개포지구대옆 카페
논현초등학교,논현초등학교 카페
방이역 2번,방이역 카페
시청역_1번,시청역 카페
장안1동주민센터,장안1동주민센터 카페
논현역 4번,논현역 카페
고속터미널(고속터미널역),고속터미널 카페
동묘앞역 2번,동묘앞역 카페
성수역,성수역 카페
선정중학교,선정중학교 카페
KB국민은행 망원동지점,KB국민은행 망원동지점 카페
상암동상점가,상암동 카페
성수2가3동주민센터,성수2가3동주민센터 카페
신월1파출소,신월1파출소 카페
신월3동주민센터,신월3동주민센터 카페
메디힐병원,메디힐병원 카페
남성역 1번,남성역 카페
장지동주민센터(한림연예예술고교),장지동주민센터 카페
삼양입구사거리,삼양입구사거리 카페
신정2동주민센터,신정2동주민센터 카페
서울교통공사,서울교통공사 카페
우림골목시장,우림골목시장 카페
우이천 계성교,우이천 계성교 카페
금천철쭉어린이공원(금하마을),금천철쭉어린이공원 카페
방배동가구거리(사당동가구거리),방배동가구거리 카페
신목동역,신목동역 카페
오류동역 3번,오류동역 카페
미아초등학교,미아초등학교 카페
두산초등학교,두산초등학교 카페
촬영소사거리,촬영소사거리 카페
떡전교사거리,떡전교사거리 카페
삼성중앙역 5번,삼성중앙역 카페
언주중학교,언주중학교 카페
용강동주민센터,용강동주민센터 카페
영등포시장역 4번,영등포시장역 카페
이촌종합시장,이촌종합시장 카페
한양공고앞 교차로,한양공고앞 교차로 카페
영등포시장역 1번,영등포시장역 카페
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",천왕역 카페
정릉골 골목형상점가,정릉골 골목형 카페
장곡초등학교,장곡초등학교 카페
신금호역 4번,신금호역 카페
보문역 5번,보문역 카페
창신역 4번,창신역 카페
동묘시장(동묘벼룩시장),동묘시장 카페
관악소방서(문영여고),관악소방서 카페
옥정중학교,옥정중학교 카페
상도1동주민센터앞,상도1동주민센터앞 카페
문래동사거리,문래동사거리 카페
성미산체육관,성미산체육관 카페
학동근린공원,학동근린공원 카페
사당5동주민센터,사당5동주민센터 카페
망우역 1번,망우역 카페
창동골목시장,창동골목시장 카페
장안초등학교,장안초등학교 카페
외대앞역 2번,외대앞역 카페
삼구시장(로타리상가),삼구시장 카페
연희어린이공원,연희어린이공원 카페
회기역 1번,회기역 카페
혜원여고,혜원여고 카페
삼성중앙역 7번,삼성중앙역 카페
명일전통시장,명일전통시장 카페
도곡2동주민센터(대치중학교),도곡2동주민센터 카페
베르사이유1아파트,베르사이유1아파트 카페
혜화동주민센터,혜화동주민센터 카페
독산역 1번 출입구,독산역 카페
정릉아리랑시장,정릉아리랑시장 카페
노량진초등학교,노량진초등학교 카페
수유역 2번,수유역 카페
열정도,열정도 카페
대원고등학교,대원고등학교 카페
잠원역,잠원역 카페
team204(팀204),team204 카페
아현시장,아현시장 카페
