역명,역_lon,역_lat
돌곶이역,127.0564381246322,37.61054501416126
동대문역,127.0106338108367,37.57166940579655
동대문역사문화공원역,127.00900417014896,37.56566440553802
동묘앞역,127.016364227103,37.5732166600283
둔촌동역,127.13621464981398,37.52765684247226
둔촌역,127.13621464981398,37.52765684247226
등촌역,126.86557100595411,37.550728980328884
뚝섬역,127.04738727881,37.547241554679
뚝섬유원지역,127.06679509976304,37.53155927720518
마들역,127.057712619869,37.6652017465321
마장역,127.042984855663,37.5661389565959
마포구청역,126.903425598797,37.5634871865932
마포역,126.94586257221307,37.53955402908912
망우역,127.092367383432,37.5992960295399
망원역,126.910094329982,37.5560826563712
매봉역,127.046711448388,37.4869394661317
먹골역,127.077762187968,37.6106193846197
면목역,127.087503803859,37.5887148877725
명일역,127.14404374474,37.5513978958277
목동역,126.86462527157516,37.526135115923466
몽촌토성역,127.11286534895457,37.5178055794687
문래역,126.894778820701,37.5179757181801
문정역,127.122484886901,37.4860310539381
미아사거리역,127.03008663628454,37.61327836400571
미아역,127.026041090189,37.6266544891889
발산역,126.83773640693936,37.558677743241596
방배역,126.997553345516,37.4814561268152
방이역,127.126096046986,37.5087506251989
방학역,127.044321721307,37.6674383662755
방화역,126.812819296675,37.5776031994404
보라매역,126.92061230710924,37.49992085496506
보문역,127.020003515933,37.585541696968
봉은사역,127.060233935114,37.5142554489848
봉천역,126.941686527151,37.4824725161034
북한산보국문역,127.008263392003,37.6121367531121
북한산우이역,127.01275713087601,37.66288704047998
불광역,126.930315826401,37.6100477979795
사가정역,127.088504554212,37.5809403751459
사당역,126.98155858357366,37.47656223234824
삼각지역,126.972922951307,37.5344393447708
삼성역,127.06302321147605,37.508822740225305
삼성중앙역,127.053043676912,37.5129614511319
삼양사거리역,127.020488845069,37.6213181360851
삼전역,127.08736363126373,37.504549097056476
상계역,127.073421632239,37.660720544722
상도역,126.947917975554,37.5028706251049
상봉역,127.085754455388,37.5955853328943
상수역,126.92242989321456,37.54776618366393
상왕십리역,127.02927241035283,37.56443666620397
상월곡역,127.048829192974,37.6065588265169
새절역,126.913580663181,37.5908600479967
서강대역,126.935507621173,37.5521384864879
서대문역,126.96663755850754,37.56575193662503
서빙고역,126.98841094338457,37.519568139395346
서울대입구역,126.952713197762,37.4812845080678
서울숲역,127.044746216358,37.543645796605
서울역,126.96974961781686,37.55332892758497
서초역,127.007662120039,37.4918499338918
석계역,127.06568946412851,37.61500552731744
석촌고분역,127.0965081858022,37.50246245994369
석촌역,127.107004062699,37.5054141216925
선릉역,127.04896282498558,37.504497373023206
선유도역,126.89333386450167,37.53815865606546
선정릉역,127.043627289129,37.5109326388803
성수역,127.056066999327,37.5445888153751
성신여대입구역,127.0171260607647,37.59296812939267
솔밭공원역,127.013268181236,37.6559782562487
송정역,126.812430347154,37.5611612387718
송파나루역,127.11266171422027,37.51101671275264
송파역,127.112193506363,37.4997149535067
수락산역,127.055350968781,37.6778814656816
수색역,126.895659474538,37.5808625683358
수서역,127.10205874359781,37.487459640349336
수유역,127.02550910860451,37.63788539420793
숙대입구역,126.972118127373,37.5445952301115
숭실대입구역,126.953621963422,37.4963172817574
신금호역,127.02049316578315,37.55447619249223
신길역,126.91836721069228,37.51678703217714
신내역,127.104271439503,37.6124910157349
신논현역,127.025492036104,37.504811111562
신당역,127.019477533278,37.5656730531732
신대방삼거리역,126.92821094566965,37.499757228908564
신대방역,126.91350747615147,37.48765046104574
신도림역,126.891312500851,37.508908482648
신림역,126.9297453749671,37.484267135140364
신목동역,126.883095790252,37.5442883741577
신방화역,126.81723757150974,37.56748745669626
신사역,127.02030856272764,37.51643597531432
신설동역,127.024456700382,37.5760299683175
신정네거리역,126.852889567642,37.5202231231721
신정역,126.856097474225,37.5250276134139
신촌역,126.93698075993808,37.555198169366435
신풍역,126.90975434386,37.5001229935524
아차산역,127.08956495447913,37.55224917071854
아현역,126.95614644008904,37.55740617797663
안암역,127.029233420248,37.586307417971
암사역,127.12754072968517,37.55015818096496
압구정역,127.02850865895756,37.52649127416921
애오개역,126.956669363197,37.5534131497489
약수역,127.010891666957,37.5545053994984
양재역,127.03416413380752,37.48457681195669
양천향교역,126.841978835328,37.5680808809647
양평역,126.886419282885,37.5255796429707
어린이대공원역,127.07465525507352,37.54796087622509
언주역,127.033970921595,37.5073353959717
역삼역,127.03646946847,37.5006744185994
역촌역,126.9228437430386,37.60622745935512
연신내역,126.92110296894133,37.61920414913163
염창역,126.874871603971,37.546982941543
영등포구청역,126.89667739939,37.5258305311402
영등포시장역,126.905179566968,37.522709383885
영등포역,126.907550274975,37.5156726288261
오금역,127.127953219596,37.5021388575469
오류동역,126.84480744815397,37.49439720933549
오목교역,126.875307312696,37.5245340839144
옥수역,127.017393782846,37.5415662783673
온수역,126.823847928009,37.4919675365056
왕십리역,127.03710337610202,37.561268363317176
외대앞역,127.06369251145765,37.596274142656114
우장산역,126.83632627213518,37.54881618721654
월계역,127.058857087601,37.6332775453974
월곡역,127.041460725816,37.6018044172918
을지로3가역,126.99098443539428,37.56629149790628
을지로4가역,126.997632059113,37.5666405038268
을지로입구역,126.9821953112953,37.566035517712955
응암역,126.9155399209037,37.5984928632876
이대역,126.94642954546576,37.556814718869
이수역,126.98167629035197,37.48528852311765
잠실나루역,127.103808749487,37.5207124124456
잠실역,127.10023101886318,37.51331105877401
잠원역,127.011419491429,37.5128899169357
장승배기역,126.939072381356,37.5048990621814
정릉역,127.013539545056,37.602614606648
제기동역,127.03494949507864,37.57817349658033
종각역,126.98315081716676,37.570227990912244
종로3가역,126.992153252476,37.570420844523
종로5가역,127.00153834521934,37.57097610838373
중곡역,127.08431236632154,37.56592206115955
중랑역,127.075680398461,37.5948425975025
중화역,127.079312037122,37.6025526943256
증산역,126.909494991105,37.583746353282
창동역,127.047644999036,37.6533385121404
창신역,127.01529688465331,37.57941474393655
천호역,127.12392845044,37.5385112120297
청구역,127.014165812912,37.5609165488093
청담역,127.053717937903,37.519455579961
충무로역,126.99414960395544,37.56139658395457
충정로역,126.96449207476172,37.55976328822766
태릉입구역,127.075405300578,37.618459513199
학동역,127.03190190063152,37.51434578734927
한강진역,127.001765135176,37.5397907743775
한성대입구역,127.00601781685579,37.58842461354086
한성백제역,127.116449169971,37.5165379932802
한양대역,127.043639802768,37.5557159860408
한티역,127.052909749417,37.4962857047653
합정역,126.91445406513526,37.54991315995173
행당역,127.029511840513,37.5573637818732
혜화역,127.00194500977393,37.58204391787134
홍대입구역,126.923778562273,37.5568707448873
홍제역,126.944158007985,37.5887953806088
화계역,127.017510491529,37.6340873974011
화곡역,126.840455026335,37.5416507925709
화랑대역,127.08354181123269,37.61984245540276
회기역,127.058048369273,37.5897962196601
회현역,126.9784372569283,37.55876114587941
효창공원앞역,126.96139810075,37.5393087503306
