기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,1분기_평균,2분기_평균,3분기_평균,4분기_평균,3개년_총평균,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_00~06_매출_건수,시간대_06~11_매출_건수,시간대_11~14_매출_건수,시간대_14~17_매출_건수,시간대_17~21_매출_건수,시간대_21~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,QUARTER_NUM
20234,A,골목상권,3110468,응암역 3번,110076897,129681103,114784329,105012796,114877175.4,148478717,17881,98766868,49711849,16974521,15126629,30319683,19447774,16898261,29037284,20674565,0,22061388,39887463,49151398,34595581,2782887,51992928,77663589,69048,41550885,33893601,22098701,20113434,11930847,11056,6825,1850,2127,2355,2599,2125,3779,3046,0,1399,6393,5791,3997,301,8386,9222,14,6112,5010,2592,2434,1447,4
20234,A,골목상권,3110263,면목역 1번,52851206,80595108.5,70542081,40041218.5,62066812.11,29193351,3678,16800655,12392696,292955,4499933,2105191,6220194,3682382,4612344,7780352,0,0,10263660,9507426,9422265,0,12000161,15581936,565472,3745841,11133311,2947858,5840410,3349203,2281,1397,68,613,272,851,477,476,921,0,0,1294,1295,1089,0,1649,1859,68,448,1447,341,721,482,4
20234,D,발달상권,3120061,올림픽대교북단,70911530.5,93064783,103016030.3,79947410.5,88543948.78,80904865,19722,57121922,23782943,11135298,12260064,11641041,10243737,11841782,11981910,11801033,0,12751789,23129694,23740888,18856566,2425928,36340114,42741218,5823673,13766044,15493152,20445592,19495778,4057093,14178,5544,2661,2974,2992,2662,2889,2883,2661,0,3428,5368,5665,4637,624,8722,10802,1496,3289,4014,5245,4430,1049,4
20234,A,골목상권,3110743,시흥초등학교(시흥1동우체국),7644916.5,6892106.5,11480606.67,7274843.5,8673950.333,8682959,189,3621417,5061542,629804,55771,2395930,177402,362510,1738793,3322749,0,0,1609456,2440143,3412278,1221082,7780538,850503,0,97599,515879,250968,6832072,934523,138,51,47,14,30,19,28,25,26,0,0,10,21,120,38,114,70,0,14,42,28,84,16,4
20234,D,발달상권,3120247,굽은다리역,165899580.5,186345335.5,216909088.7,161139798,186388521.6,156078508,34548,98255466,57823042,19877332,20505945,19671494,17677207,20523488,25370935,32452107,0,29144000,49031650,40487752,33768111,3646995,73012902,80261124,3296209,23467225,39691397,33724581,31443086,21651528,22586,11962,4451,4535,4624,4231,4745,5486,6476,0,7632,10305,8899,7015,697,16636,17577,718,5826,9066,7653,6747,4200,4
20234,A,골목상권,3110080,해방촌예술마을,45421054,69522429,57590152.33,59833632.5,58036076.44,54472413,3397,20172858,34299555,5001173,3775613,2552880,3257004,5586188,16770766,17528789,0,28228,6309686,22217507,20587655,5329337,20394321,33274647,962327,26976165,14623607,5277322,4779790,1049758,1312,2085,329,262,195,219,307,1047,1038,0,6,422,1276,1384,309,1323,2048,92,1676,942,371,240,51,4
20234,A,골목상권,3110255,상봉역 4번,57526063.5,57905690.5,64844857.33,53761883,59213538.44,74166441,6636,43191345,30975096,7498934,7701823,8517140,8995919,10477529,12641928,18333168,0,1697436,20864396,23820803,27050011,733795,24609558,49556883,857040,22803550,19576458,9529399,11122174,10277820,3957,2679,701,738,747,778,993,1199,1480,0,218,2027,2084,2197,110,2418,4218,54,1939,1739,823,1027,1054,4
20234,A,골목상권,3110403,방학1동주민센터,141336398,175008292.5,118881780.3,133403148,139571224.2,119202144,24991,74224319,44977825,14545862,14397096,14095618,15312110,15873633,23206640,21771185,0,17314597,37307254,31362725,29532686,3684882,57142292,61257145,2730359,21697703,31623499,24312483,24813947,13221446,16669,8322,2969,3116,3157,3599,3828,4187,4135,0,4345,7210,6623,6088,725,12894,12087,523,4393,6927,5345,5075,2718,4
20234,A,골목상권,3110410,방학역 2번,305003623,359327309.5,375488035,313304863,342415077.3,301408479,40265,195283174,106125305,35646446,39184420,41472547,36754088,42225673,48688802,57436503,0,30880552,89126681,74386699,79836778,27177769,138844089,161213435,4943970,61493307,69069004,60561452,68327231,35662560,27288,12977,5168,5642,5554,5019,5905,5988,6989,0,6283,11314,10169,9385,3114,19680,20365,704,7779,9338,8267,9428,4529,4
20234,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",5440352858,6097622609,5527354061,6205640287,5785477077,6221378141,862412,4119187484,2102190657,786712191,811246189,814969594,801670697,904588813,1100863804,1001326853,102559418,457662716,1378037271,1659794483,2093522409,529801844,2166575047,3950551301,223480965,3165415109,1171611186,574800392,743799791,238018915,598128,264284,114555,120848,121363,119362,122000,136794,127490,10311,117267,204662,217318,250598,62256,325546,530971,28632,434975,171105,83632,107204,30968,4
20234,A,골목상권,3110643,강서구다솔마을,21431249,37195854,31213082.33,23913055,28746618.11,27483570,2684,25693870,1789700,3053705,5562130,6302923,5117324,5657788,1398893,390807,0,1471641,19899645,4675121,1437163,0,14626115,9770338,0,881345,8042942,7851176,5726197,1894790,2507,177,305,511,633,515,543,126,51,0,210,1735,546,193,0,1469,1025,0,173,807,756,564,193,4
20234,D,발달상권,3120249,고덕역,1600505075,1806807257,1944158092,1728237450,1789285982,1832636757,320450,1221216123,611420634,224861804,242349111,257031289,232359678,264614241,320232698,291187936,33429,259119958,522735859,488859631,466869119,95018761,727612731,1048472416,101623995,268856186,340303363,598861517,299575883,166864199,217168,103282,41193,43121,44279,42507,46068,55184,48098,6,53604,83818,84975,81395,16652,138849,178424,22831,54003,62757,100136,52033,25512,4
20234,A,골목상권,3111089,상일여고(상일초등학교),163570864,209696574.5,201817886.3,166351565,187187962.9,156881925,22273,120817133,36064792,17366897,26198994,26852891,26041324,24357027,18503664,17561128,0,17180844,81312361,36003594,22135891,249235,71620675,78659825,1420537,18679495,44592533,45555312,25776467,14256155,16770,5503,3017,3321,3526,3564,3342,2787,2716,0,3215,10300,5280,3451,27,10923,10886,277,3334,6603,6225,3684,1687,4
20234,A,골목상권,3110155,광진구청,111658760.5,114708982,109948332,120915315.5,113823456.9,109445771,11341,83905132,25540639,15468103,19479210,13310893,17090123,18556803,14648022,10892617,0,4943774,55231961,28771393,20195574,303069,44341600,49233071,1082124,32654802,28531758,15647527,10720572,4937891,8861,2480,1654,2035,1341,1901,1930,1474,1006,0,739,5654,2953,1963,32,4920,5557,149,4128,3379,1395,1049,377,4
20234,A,골목상권,3110895,샤로수길,386647879,415693834,437267196.7,377996082,408053020,393789068,36812,241475853,152313215,41764104,50413200,43259891,45257516,60781142,79372498,72940717,2693228,11865152,97874071,99542420,162096342,19717855,145310648,218912013,10356699,173473991,91000697,34293173,40637123,14460978,23645,13167,4366,5072,4501,4819,4887,6921,6246,189,3078,9557,9795,12692,1501,15828,20343,900,15992,9088,3694,4888,1611,4
20234,D,발달상권,3120237,경찰병원역,671223207,735029345,854525838.3,800953960,775332282.1,881376486,129549,737547286,143829200,90575642,159336287,124479648,241522399,121633310,72104526,71724674,2309576,231281572,283250434,274722433,73171070,16641401,338122193,297393147,2608494,106538673,190234886,148000009,103006310,85126963,104140,25409,17500,20274,23379,21435,21552,12787,12622,425,37946,44997,29236,13951,2994,68739,54014,609,22377,38659,28487,19068,13558,4
20234,D,발달상권,3120012,대학로(혜화역),5868401443,5941921454,6744855172,6440369007,6303994369,6502059174,681563,3923455440,2578603734,701900085,729285148,781603936,788715589,921950682,1333363272,1245240462,21018183,226398143,1651546193,2039459007,2193720008,369917640,1915625433,4273389139,264083238,2533270562,1517940714,829532165,787809410,256378485,424382,257181,77213,80292,87477,84095,95305,131740,125441,2077,42722,173927,206751,219797,36289,217305,453208,30788,278776,166065,87939,81150,25802,4
