기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
20253,D,발달상권,3120090,연신내역,2577405,6,926548362,217730955,113247710,74612231,108660057,160141335,40941051,27354574,146583142,37277307
20253,D,발달상권,3120091,본서부병원,2641213,6,1410684106,328540683,172307376,110185839,164739477,246246422,59381196,40953756,229832570,58496787
20253,D,발달상권,3120092,불광역,2591102,6,702527462,174482000,85028151,56989980,87809135,121884643,27556118,21175688,97849695,29752052
20253,D,발달상권,3120093,연희동,3763854,8,622802210,147988066,82239844,44158848,75039622,93255461,23582110,21942105,103910973,30685181
20253,D,발달상권,3120094,"신촌역(신촌역, 신촌로터리)",3076043,7,1163965676,249610943,167023757,78971940,133000176,144624487,48682421,47656930,229997051,64397971
20253,D,발달상권,3120095,홍제역,2628371,6,460838395,127593830,55384076,35114241,64194095,73459474,17496917,14250895,54315693,19029174
20253,D,발달상권,3120096,"이화여대(이대역, 이대)",3613370,7,535705066,120752485,71793303,38577621,62244056,71716538,21303469,19825696,102752187,26739711
20253,D,발달상권,3120097,충정로역,4880648,8,548441867,109086079,66922749,49513776,54662696,95406681,28108089,15308212,108584718,20848867
20253,D,발달상권,3120100,망원역,2791251,6,893152035,218084871,109492231,67452186,103650764,154599294,33232106,27604994,140453543,38582046
20253,D,발달상권,3120101,합정역,4650139,8,2841247933,667951799,360882252,221639778,332854462,497541221,132321553,83675167,424046318,120335383
20253,D,발달상권,3120102,서교동(홍대),3002443,7,1895650588,452406443,238452438,150802188,217582091,328812290,78640263,60157573,285939528,82857774
20253,D,발달상권,3120103,홍대입구역(홍대),2940212,6,3217620585,731526663,416708587,236535881,369374517,498002463,124029753,111365372,578509244,151568105
20253,D,발달상권,3120104,연남동(홍대),2969151,6,4545268501,1153195291,563074917,357942018,537516865,750240965,169792098,151469797,662047681,199988869
20253,D,발달상권,3120105,상수역(홍대),2806606,6,1307553976,304948130,173966681,81484268,157598869,166433822,45866003,49434308,261943412,65878483
20253,D,발달상권,3120106,마포역,4775524,8,1235066290,313433453,153785396,101704583,152797065,199377966,60828402,38716680,165765532,48657213
20253,D,발달상권,3120107,공덕역(공덕오거리),5318880,9,1216567876,296760737,160113307,88917776,146996885,184971607,50205484,42527511,188602530,57472039
20253,D,발달상권,3120108,신정네거리역,2416294,5,1307037673,344419217,155756244,95414975,171067985,211278994,49452845,39369033,187403213,52875167
20253,D,발달상권,3120109,서울남부지방법원,2668303,6,1136347032,296073281,135262069,81200175,148140375,184503925,43755571,33581557,168494670,45335409
20253,D,발달상권,3120110,목동역 8번출구,2762406,6,867113410,202794984,108834516,66646602,101760681,152224719,40072896,25037609,133730981,36010422
20253,D,발달상권,3120111,목동사거리,2561022,6,988442567,242662076,119450399,71505523,121416988,171505384,36239222,28871327,155146842,41644806
20253,D,발달상권,3120112,등촌역,2925158,6,3992293363,887704618,493145047,319762689,446550790,693211824,195095755,111791379,688736102,156295159
20253,D,발달상권,3120113,오목교역,4303607,8,2023404078,485491417,245517484,143902859,239221864,337164164,79835034,57445976,351163275,83662005
20253,D,발달상권,3120114,목동신시가지,6098985,9,3396080891,833430394,427624947,243234147,415015575,553753341,165332550,97479349,525659621,134550967
20253,D,발달상권,3120116,송정역,2802789,6,358050110,102538671,45051273,30325344,47562352,57469338,13183625,12801220,32418800,16699487
20253,D,발달상권,3120117,강서농산물도매시장,1883963,4,43510208,8799170,5766873,3300166,4469191,7714840,2635651,1153293,7953300,1717724
20253,D,발달상권,3120119,발산역(마곡),3324480,7,399652966,83855410,49761174,31110464,41958898,67008506,21026881,10867640,79056446,15007547
20253,D,발달상권,3120120,화곡역,2631582,6,1474096413,362930865,183282220,119804442,174480158,253236077,61227638,46407287,209232404,63495322
20253,D,발달상권,3120121,까치산역,2702623,6,1874997233,408966016,232652401,161060787,207789466,336250322,92190231,53558793,306953114,75576103
20253,D,발달상권,3120122,강서구청,2710078,6,3673527303,816510031,448677018,309453800,406705982,642401768,173293468,105805033,624472348,146207855
20253,D,발달상권,3120123,오류동역,2458800,6,1750804189,350557451,217955373,157842446,180927758,315961263,98876004,46978874,315738053,65966967
20253,D,발달상권,3120124,개봉동 현대아파트,2463097,6,1507462278,395603634,179725076,107371446,200790774,254060052,52207483,44588931,209615450,63499432
20253,D,발달상권,3120125,구로역,3468131,7,1342257480,305857888,170021321,110012287,150811064,233014025,68325298,38694408,210681824,54839365
20253,D,발달상권,3120126,디지털단지오거리,2195451,5,383709753,104951183,47311199,28574619,52944598,65532156,13707422,11753681,41473278,17461617
20253,D,발달상권,3120127,구로구청,2876409,6,3564107047,700033153,440775417,329433579,349682496,632718105,195637831,98771258,681536391,135518817
20253,D,발달상권,3120128,신도림역,4915171,9,1316569801,347034861,155736653,92299492,172235996,214733680,47127354,39994780,193488120,53918865
20253,D,발달상권,3120129,구로디지털단지,2543824,6,1708673745,337922114,217689823,130394664,162508047,286467692,92640063,48786687,364197280,68067375
20253,D,발달상권,3120130,구로디지털단지역,2616631,6,1465625637,343564877,190777178,134010532,147364167,242441325,69822776,51419247,219560247,66665288
20253,D,발달상권,3120131,가산디지털단지,2595429,6,3296862435,721047041,444166006,305478249,351213113,611505811,203894424,99648584,419957812,139951395
20253,D,발달상권,3120132,독산동,2530655,6,3312049992,791017510,430751389,274524617,375096042,549240657,157308080,109305413,477331448,147474836
20253,D,발달상권,3120133,서울시흥동우체국(홈플러스시흥점),2734476,6,179229318,49057552,21289431,13194072,24495648,28698094,6621614,5395147,23139250,7338510
20253,D,발달상권,3120134,구로전화국,2452799,6,1709731123,431439136,212306047,134969438,214207265,292934371,74049421,51954607,225270680,72600158
20253,D,발달상권,3120135,양평역,3022229,7,493524572,127254779,60767369,41363841,60688476,78631016,23890706,15640735,65917567,19370083
20253,D,발달상권,3120136,영등포구청역,2865115,6,1014388880,289235576,121050150,80720654,134530821,154415993,36806861,34202950,121460533,41965342
20253,D,발달상권,3120138,당산2동(영등포우체국),3198770,7,935436718,233270374,118290519,83714322,106401032,154674015,41716863,31317264,125018794,41033535
20253,D,발달상권,3120139,대림3동사거리,2350181,5,848171189,208584911,104283241,64645569,103630600,145750966,34411296,25225013,125724263,35915330
20253,D,발달상권,3120140,문래동주민센터,5161577,9,7991680,1866290,981223,653224,940436,1394935,408388,232166,1217100,297918
20253,D,발달상권,3120141,영등포청과시장교차로,2903383,6,881638032,229135061,110065342,73499116,108414381,147730225,36253566,28930239,109197276,38412826
20253,D,발달상권,3120142,대림역,2554592,6,1307404978,295256254,159122540,111559871,145981772,225958401,61060067,38099802,218501561,51864710
20253,D,발달상권,3120143,당산역,3578586,7,1735374771,468451402,222654098,164190151,191722665,270756492,65608758,67985931,201337602,82667672
20253,D,발달상권,3120144,영중로,3229388,7,799140374,196723683,104881165,75698300,86081014,136770957,39132820,28166614,95202183,36483638
20253,D,발달상권,3120145,영등포역(영등포),2984414,7,2935012043,746027980,390301394,259199790,353918063,514608455,146585145,97281425,291449410,135640381
20253,D,발달상권,3120146,한강성심병원,3099199,7,939017788,213516573,123883728,90382995,96051008,167770467,46851051,31607322,125693592,43261052
20253,D,발달상권,3120147,보라매역,2772484,6,770770778,183414920,95590174,59667844,90028183,134822205,32267984,23115987,119365648,32497833
20253,D,발달상권,3120148,국회의사당역(국회의사당),5019334,9,620033990,218381530,70763636,47445515,96279732,69932376,18401827,24761141,49401484,24666749
20253,D,발달상권,3120149,여의도역(여의도),5980022,9,1447281665,358764377,178461279,109536266,190120343,260563864,56608192,41976429,187640526,63610389
20253,D,발달상권,3120150,63빌딩,4949725,9,340018206,103744613,40775300,26158310,51451013,47958532,14525042,11319017,30847420,13238959
20253,D,발달상권,3120151,보라매공원,4057470,8,2930613534,627483896,384425163,241228658,333401757,538550706,173309923,80140529,433856411,118216491
20253,D,발달상권,3120152,신대방삼거리역,2812924,6,1461521546,351865841,182334801,117615537,171558699,251863664,62848871,44518310,216523865,62391958
20253,D,발달상권,3120153,노량진역(노량진),2771883,6,942528019,213079504,130560644,66474560,111335549,122401663,38947118,36881064,173685311,49162606
20253,D,발달상권,3120154,장승배기역,2480197,6,318035037,88125267,39643641,26295432,40486893,50945029,11522616,11146471,35435935,14433753
20253,D,발달상권,3120155,총신대학교,2725973,6,925070925,237066128,111623388,69121409,115019848,148426499,38336101,27864511,140732490,36880551
20253,D,발달상권,3120156,"총신대입구역(이수, 총신대)",3555241,7,1929351454,485187595,235823585,148113151,236097899,323877395,74659247,59308506,284064080,82219996
20253,D,발달상권,3120157,신림역(신림),2474170,6,4809890059,1126316300,633865576,418138944,524382651,754662542,206247590,177720913,738890000,229665543
20253,D,발달상권,3120158,녹두거리(대학동),2377036,5,1339518927,277294373,189474197,85692887,150799333,163617302,54295557,53245869,292458361,72641048
