상권_코드,상권_코드_명,기준_년분기_코드,상권_구분_코드_명_x,y_log,당월_매출_금액,찻집_수,카페음료_점포수,oof_pred,oof_residual
3120247,굽은다리역,20253,발달상권,19.22245760910941,222949892,0,2.0,19.88518389319094,-0.6627262840815327
3120248,명일역,20233,발달상권,20.18147225774872,581703983,0,15.0,20.45984061739992,-0.2783683596511999
3120248,명일역,20234,발달상권,20.029426038582123,499653810,0,15.0,20.355861737872026,-0.32643569928990246
3120248,명일역,20241,발달상권,20.03455558265516,502223391,0,15.0,20.352141195974312,-0.317585613319153
3120248,명일역,20242,발달상권,19.85877868624136,421267543,0,15.0,20.512954725284338,-0.6541760390429765
3120248,명일역,20243,발달상권,19.97714895340038,474204372,0,15.0,20.45766099880848,-0.4805120454080978
3120248,명일역,20244,발달상권,19.946714364581464,459989565,0,15.0,20.374569110805005,-0.4278547462235416
3120248,명일역,20251,발달상권,19.797643147486923,396284579,0,15.0,20.302011587614096,-0.5043684401271733
3120248,명일역,20252,발달상권,19.969024058398528,470367121,0,,20.442872144130842,-0.47384808573231396
3120248,명일역,20253,발달상권,20.136144384541392,555925240,0,16.0,20.453270153199096,-0.3171257686577036
3120249,고덕역,20233,발달상권,21.45868241043997,2086350929,3,14.0,20.535781058030278,0.9229013524096921
3120249,고덕역,20234,발달상권,21.32902161813555,1832636757,3,12.0,20.500775211509723,0.8282464066258264
3120249,고덕역,20241,발달상권,21.22986717677518,1659641042,3,13.0,20.48121697672101,0.7486502000541684
3120249,고덕역,20242,발달상권,21.33385813738501,1841521809,3,13.0,20.63433342333508,0.6995247140499323
3120249,고덕역,20243,발달상권,21.313238980871283,1803939967,3,10.0,20.581377779822546,0.7318612010487371
3120249,고덕역,20244,발달상권,21.208058408078557,1623838142,3,10.0,20.509156456472144,0.6989019516064126
3120249,고덕역,20251,발달상권,21.155936890235413,1541369108,3,11.0,20.439366925595536,0.7165699646398771
3120249,고덕역,20252,발달상권,21.29542700491656,1772092705,3,13.0,20.584893940660606,0.7105330642559551
