상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3110525,홍은종합사회복지관,골목상권,0.8527394046471315,17.65817273479966,18.51091213944679,109442749,0,0.9260158264202174,0.06687875818135888,9,1.0,False,False
3110547,KB국민은행 망원동지점,골목상권,0.8531738256720622,18.0030290734175,18.856202899089563,154576997,0,0.9341426776239403,0.10276350995281378,9,1.0,False,False
3110902,사당역 4번,골목상권,0.8634163936862187,19.3341981960416,20.19761458972782,591170240,0,0.3078401816497609,0.5868967735516522,9,1.0,False,False
3110018,중앙고등학교,골목상권,0.8785157717456862,18.48972536042313,19.368241132168816,257940921,4,0.7834070625354449,0.127919848895717,9,0.2,False,False
3110458,선일여고,골목상권,0.8809286379887595,17.907320568487343,18.788249206476102,144421866,0,1.0876761174736786,0.18031635760234005,9,1.0,False,False
3110792,영등포역 2번,골목상권,0.8814479445895884,18.299076263602892,19.18052420819248,213794152,0,0.7276681080812897,0.1509321230398517,8,1.0,False,False
3111031,장지동주민센터(한림연예예술고교),골목상권,0.8830201552797341,18.007447688227504,18.89046784350724,159965358,0,0.9024773219821272,0.1059193010052797,9,1.0,False,False
3120171,서초3동사거리,발달상권,0.8867260341650791,20.485750502171996,21.372476536337075,1914029487,0,0.8196322856419537,0.07087287345565087,9,1.0,False,False
3110695,개봉1동주민센터,골목상권,0.8886077024912389,17.99532373336371,18.883931435854947,158923169,0,0.9467095840834298,0.05254199442939545,9,1.0,False,False
3130094,청량리청과물시장,전통시장,0.8889382891138489,17.628427135038777,18.517365424152626,110151298,0,0.6957296853320893,0.19140824506188586,9,1.0,False,False
3110649,우장산역 1번,골목상권,0.8949570275570835,18.1535844695388,19.048541497095883,187359819,0,0.9962483043967103,0.07238906517412293,9,1.0,False,False
3110595,메디힐병원,골목상권,0.8956738002217293,18.066943467523615,18.962617267745344,171933316,0,0.7443198433294818,0.13533490419619731,9,1.0,False,False
3110237,메가박스 상봉,골목상권,0.8978722953168372,18.051295844996865,18.949168140313702,169636443,0,0.9227870482319965,0.08538180833380202,9,1.0,False,False
3110745,독산동정훈단지,골목상권,0.9029993241929439,17.699467816714225,18.60246714090717,119935797,0,0.8616949157917391,0.09152833614324013,9,1.0,False,False
3110261,사가정역 4번,골목상권,0.9036089285183202,17.877215781352223,18.780824709870544,143353577,0,0.8768676505323769,0.07105782516714094,9,1.0,False,False
3110836,상도역 5번,골목상권,0.9038474628980069,19.087189978764815,19.991037441662822,480836301,0,0.980056547406163,0.0938543644988061,9,1.0,False,False
3110241,먹골역 5번,골목상권,0.9040571607384109,17.93179633266256,18.835853493400972,151463236,0,0.7433637241512029,0.1825767918006262,9,1.0,False,False
3110173,구남초등학교,골목상권,0.9061825404528427,17.903013444120077,18.80919598457292,147478945,0,1.5441317005407211,0.28928348223293004,9,1.0,False,False
