상권_코드,상권_코드_명,스타벅스_리저브_수
3110331,돌곶이역 8번,0
3110332,돌곶이역 3번,0
3110333,돌곶이역 5번,0
3110334,석관중앙교회,0
3110335,석계역 7번,0
3110336,석관고등학교,0
3110337,아카데미하우스,0
3110338,인수초등학교,0
3110339,국립4.19민주묘지,0
3110340,인수중학교,0
3110341,북한산우이역 2번,0
3110342,국립재활원,0
3110343,무너미어린이공원,0
3110344,화계중학교,0
3110366,광산사거리,0
3110345,솔밭공원역 2번,0
3110346,4.19민주묘지역 2번,0
3110350,가오리역 2번,0
3110351,수유북부시장옆,0
3110352,수유1동주민센터,0
3110371,삼양입구사거리,0
3110372,강북중학교,0
3110355,삼양사거리역 2번,0
3110356,덕수교,0
3110357,가오리역 1번,0
3110360,수유초등학교,0
3110361,삼양사거리역 1번,0
3110362,우이천 계성교,0
3110363,송천동주민센터,0
3110364,미아역 8번,0
3110365,미아역 5번,0
3110358,인수동 우편취급국,0
3110359,수유시장옆,0
3110367,강북구청,0
3110368,송천초등학교,0
3110369,성신여대운정그린캠퍼스,0
3110370,도봉세무서,0
3110396,쌍문역1번(쌍리단길),0
3110397,도봉산입구,0
3110398,쌍문2동우체국,0
3110399,창2동주민센터,0
3110390,방학초등학교,0
3110391,샘말어린이공원,0
3110392,발바닥공원,0
3110393,국민은행방학지점,0
3110373,수유역 2번,0
3110374,송중초등학교,0
3110375,서울북부고용노동지청,0
3110376,수송초등학교,0
3110377,미아사거리역 3번,0
3110378,송중동주민센터,0
3110379,KT&G 북부지사,0
3110380,강북문화정보도서관,0
3110381,번동주공2단지,0
3110382,솔밭공원역 1번,0
3110383,덕성여대시반거리,0
3110384,문이교,0
3110780,신길대성유니드아파트,0
3110781,대림한신아파트,0
3110782,영등포시장역 4번,0
3110783,영등포시장역 1번,0
3110385,효문고등학교,0
3110386,연산군묘,0
3110387,쌍문초등학교,0
3110388,도봉우체국,0
3110389,한일병원,0
3110394,방학중학교,0
3110395,신한은행 방학동지점,0
3110430,중계초등학교,0
3110431,상계역,0
3110480,연신내역 3번,0
3110481,불광역 7번,0
3110455,역촌노인복지관,0
3110456,구산보건지소,0
3110457,예일여고,0
3110505,홍남교남측,0
3110506,연희임광아파트,0
3110483,연천초등학교,0
3110484,역촌역 3번,0
3110470,신진과학기술고등학교,0
3110471,응암동우체국,0
3110517,서대문소방서,0
3110518,서대문구청,0
3110491,불광중학교,0
3110492,하나고등학교,0
3110493,북가좌초등학교,0
3110507,명지대학교,0
3110508,서연중학교,0
3110534,경기대학교,0
3110535,영천시장입구,0
3110519,서대문구보건소별관,0
3110520,경의중앙 신촌역,0
3110566,경의선책거리,0
3110542,마포구청역 7번,0
3110543,중암중학교,0
3110544,망리단길,0
3110545,마포구청역 1번,0
3110584,아현역 4번,0
3110553,가좌역 2번,0
3110554,망원역 1번,0
3110555,홍익지구대,0
3110580,양원초등학교,0
3110581,염리초등학교,0
3110582,이대역 5번,0
3110583,공덕래미안3차아파트,0
3110567,광흥창역 6번,0
3110568,광흥창역 1번,0
3110421,석계역 1번,0
3110422,노원역 9번,0
3110585,마포경찰서,0
3110586,서울서부지방법원,0
3110587,공덕동주민센터,0
3110447,구산초등학교,0
3110448,상신초등학교입구,0
3110409,창동역 2번,0
3110410,방학역 2번,0
3110411,도봉역 3번,0
3110412,창동중학교,0
3110436,상계제일중학교,0
3110437,당고개역 2번,0
3110438,경춘선숲길 우측,0
3110423,석계역 2번,0
3110472,연신내역 4번,0
3110473,구산역 1번,0
3110449,증산역 3번,0
3110494,증산3교남측,0
